2026-02-26T14:44:27Z watchdog: log file missing, no action
2026-03-02T14:10:01Z watchdog: stalled (age=605m) but max restarts reached (10), no action
2026-03-02T14:15:01Z watchdog: stalled (age=610m) but max restarts reached (10), no action
2026-03-02T14:50:02Z watchdog: stalled (age=645m) but max restarts reached (10), no action
2026-03-02T15:00:01Z watchdog: stalled (age=655m) but max restarts reached (10), no action
2026-03-02T15:05:01Z watchdog: stalled (age=660m) but max restarts reached (10), no action
2026-03-02T15:10:01Z watchdog: stalled (age=665m) but max restarts reached (10), no action
2026-03-02T15:15:02Z watchdog: stalled (age=670m) but max restarts reached (10), no action
2026-03-02T15:20:01Z watchdog: stalled (age=675m) but max restarts reached (10), no action
2026-03-02T15:25:01Z watchdog: stalled (age=680m) but max restarts reached (10), no action
2026-03-02T15:30:01Z watchdog: stalled (age=685m) but max restarts reached (10), no action
2026-03-02T15:40:01Z watchdog: stalled (age=695m) but max restarts reached (10), no action
2026-03-02T15:45:01Z watchdog: stalled (age=700m) but max restarts reached (10), no action
2026-03-02T15:50:01Z watchdog: stalled (age=705m) but max restarts reached (10), no action
2026-03-02T15:55:01Z watchdog: stalled (age=710m) but max restarts reached (10), no action
2026-03-02T16:00:01Z watchdog: stalled (age=715m) but max restarts reached (10), no action
2026-03-02T16:05:01Z watchdog: stalled (age=720m) but max restarts reached (10), no action
2026-03-02T16:15:01Z watchdog: stalled (age=730m) but max restarts reached (10), no action
2026-03-02T16:20:01Z watchdog: stalled (age=735m) but max restarts reached (10), no action
2026-03-02T16:25:01Z watchdog: stalled (age=740m) but max restarts reached (10), no action
2026-03-02T16:30:02Z watchdog: stalled (age=745m) but max restarts reached (10), no action
2026-03-02T16:35:01Z watchdog: stalled (age=750m) but max restarts reached (10), no action
2026-03-02T16:40:01Z watchdog: stalled (age=755m) but max restarts reached (10), no action
2026-03-02T16:45:02Z watchdog: stalled (age=760m) but max restarts reached (10), no action
2026-03-02T16:50:01Z watchdog: stalled (age=765m) but max restarts reached (10), no action
2026-03-02T16:55:01Z watchdog: stalled (age=770m) but max restarts reached (10), no action
2026-03-02T17:00:01Z watchdog: stalled (age=775m) but max restarts reached (10), no action
2026-03-02T17:05:01Z watchdog: stalled (age=780m) but max restarts reached (10), no action
2026-03-02T17:10:02Z watchdog: stalled (age=785m) but max restarts reached (10), no action
2026-03-02T17:15:01Z watchdog: stalled (age=790m) but max restarts reached (10), no action
2026-03-02T17:20:01Z watchdog: stalled (age=795m) but max restarts reached (10), no action
2026-03-02T17:25:01Z watchdog: stalled (age=800m) but max restarts reached (10), no action
2026-03-02T17:40:01Z watchdog: stalled (age=815m) but max restarts reached (10), no action
2026-03-02T17:45:01Z watchdog: stalled (age=820m) but max restarts reached (10), no action
2026-03-02T17:50:01Z watchdog: stalled (age=825m) but max restarts reached (10), no action
2026-03-02T18:00:01Z watchdog: stalled (age=835m) but max restarts reached (10), no action
2026-03-02T18:20:01Z watchdog: stalled (age=855m) but max restarts reached (10), no action
2026-03-02T18:45:01Z watchdog: stalled (age=880m) but max restarts reached (10), no action
2026-03-02T18:50:01Z watchdog: stalled (age=885m) but max restarts reached (10), no action
2026-03-02T18:55:01Z watchdog: stalled (age=890m) but max restarts reached (10), no action
2026-03-02T19:00:01Z watchdog: stalled (age=895m) but max restarts reached (10), no action
2026-03-02T19:05:01Z watchdog: stalled (age=900m) but max restarts reached (10), no action
2026-03-02T19:10:01Z watchdog: stalled (age=905m) but max restarts reached (10), no action
2026-03-02T19:15:01Z watchdog: stalled (age=910m) but max restarts reached (10), no action
2026-03-02T19:20:01Z watchdog: stalled (age=915m) but max restarts reached (10), no action
2026-03-02T19:35:01Z watchdog: stalled (age=930m) but max restarts reached (10), no action
2026-03-02T19:45:01Z watchdog: stalled (age=940m) but max restarts reached (10), no action
2026-03-02T19:55:01Z watchdog: stalled (age=950m) but max restarts reached (10), no action
2026-03-02T20:05:01Z watchdog: stalled (age=960m) but max restarts reached (10), no action
2026-03-02T20:15:01Z watchdog: stalled (age=970m) but max restarts reached (10), no action
2026-03-02T20:20:01Z watchdog: stalled (age=975m) but max restarts reached (10), no action
2026-03-02T20:25:01Z watchdog: stalled (age=980m) but max restarts reached (10), no action
2026-03-02T20:30:02Z watchdog: stalled (age=985m) but max restarts reached (10), no action
2026-03-02T20:35:01Z watchdog: stalled (age=990m) but max restarts reached (10), no action
2026-03-02T20:45:01Z watchdog: stalled (age=1000m) but max restarts reached (10), no action
2026-03-02T20:50:01Z watchdog: stalled (age=1005m) but max restarts reached (10), no action
2026-03-02T21:05:01Z watchdog: stalled (age=1020m) but max restarts reached (10), no action
2026-03-02T21:10:01Z watchdog: stalled (age=1025m) but max restarts reached (10), no action
2026-03-02T21:20:01Z watchdog: stalled (age=1035m) but max restarts reached (10), no action
2026-03-02T21:30:01Z watchdog: stalled (age=1045m) but max restarts reached (10), no action
2026-03-02T21:35:01Z watchdog: stalled (age=1050m) but max restarts reached (10), no action
2026-03-02T21:40:01Z watchdog: stalled (age=1055m) but max restarts reached (10), no action
2026-03-02T21:45:01Z watchdog: stalled (age=1060m) but max restarts reached (10), no action
2026-03-02T22:05:01Z watchdog: stalled (age=1080m) but max restarts reached (10), no action
2026-03-02T22:15:01Z watchdog: stalled (age=1090m) but max restarts reached (10), no action
2026-03-02T22:25:01Z watchdog: stalled (age=1100m) but max restarts reached (10), no action
2026-03-02T22:30:02Z watchdog: stalled (age=1105m) but max restarts reached (10), no action
2026-03-02T22:35:01Z watchdog: stalled (age=1110m) but max restarts reached (10), no action
2026-03-02T22:40:01Z watchdog: stalled (age=1115m) but max restarts reached (10), no action
2026-03-02T22:55:01Z watchdog: stalled (age=1130m) but max restarts reached (10), no action
2026-03-02T23:00:02Z watchdog: stalled (age=1135m) but max restarts reached (10), no action
2026-03-02T23:10:01Z watchdog: stalled (age=1145m) but max restarts reached (10), no action
2026-03-02T23:20:01Z watchdog: stalled (age=1155m) but max restarts reached (10), no action
2026-03-02T23:25:01Z watchdog: stalled (age=1160m) but max restarts reached (10), no action
2026-03-02T23:30:01Z watchdog: stalled (age=1165m) but max restarts reached (10), no action
2026-03-02T23:35:01Z watchdog: stalled (age=1170m) but max restarts reached (10), no action
2026-03-02T23:45:01Z watchdog: stalled (age=1180m) but max restarts reached (10), no action
2026-03-02T23:50:01Z watchdog: stalled (age=1185m) but max restarts reached (10), no action
2026-03-02T23:55:01Z watchdog: stalled (age=1190m) but max restarts reached (10), no action
2026-03-03T00:00:01Z watchdog: stalled (age=1195m) but max restarts reached (10), no action
2026-03-03T00:15:01Z watchdog: stalled (age=1210m) but max restarts reached (10), no action
2026-03-03T00:25:01Z watchdog: stalled (age=1220m) but max restarts reached (10), no action
2026-03-03T00:30:01Z watchdog: stalled (age=1225m) but max restarts reached (10), no action
2026-03-03T00:35:01Z watchdog: stalled (age=1230m) but max restarts reached (10), no action
2026-03-03T00:45:01Z watchdog: stalled (age=1240m) but max restarts reached (10), no action
2026-03-03T00:50:01Z watchdog: stalled (age=1245m) but max restarts reached (10), no action
2026-03-03T00:55:01Z watchdog: stalled (age=1250m) but max restarts reached (10), no action
2026-03-03T01:00:01Z watchdog: stalled (age=1255m) but max restarts reached (10), no action
2026-03-03T01:10:01Z watchdog: stalled (age=1265m) but max restarts reached (10), no action
2026-03-03T01:15:01Z watchdog: stalled (age=1270m) but max restarts reached (10), no action
2026-03-03T01:20:01Z watchdog: stalled (age=1275m) but max restarts reached (10), no action
2026-03-03T01:25:01Z watchdog: stalled (age=1280m) but max restarts reached (10), no action
2026-03-03T01:30:01Z watchdog: stalled (age=1285m) but max restarts reached (10), no action
2026-03-03T01:35:01Z watchdog: stalled (age=1290m) but max restarts reached (10), no action
2026-03-03T01:45:01Z watchdog: stalled (age=1300m) but max restarts reached (10), no action
2026-03-03T01:50:01Z watchdog: stalled (age=1305m) but max restarts reached (10), no action
2026-03-03T02:10:02Z watchdog: stalled (age=1325m) but max restarts reached (10), no action
2026-03-03T02:30:01Z watchdog: stalled (age=1345m) but max restarts reached (10), no action
2026-03-03T02:35:01Z watchdog: stalled (age=1350m) but max restarts reached (10), no action
2026-03-03T02:45:02Z watchdog: stalled (age=1360m) but max restarts reached (10), no action
2026-03-03T02:50:01Z watchdog: stalled (age=1365m) but max restarts reached (10), no action
2026-03-03T02:55:01Z watchdog: stalled (age=1370m) but max restarts reached (10), no action
2026-03-03T03:10:02Z watchdog: stalled (age=1385m) but max restarts reached (10), no action
2026-03-03T03:15:02Z watchdog: stalled (age=1390m) but max restarts reached (10), no action
2026-03-03T03:25:02Z watchdog: stalled (age=1400m) but max restarts reached (10), no action
2026-03-03T03:30:01Z watchdog: stalled (age=1405m) but max restarts reached (10), no action
2026-03-03T03:35:01Z watchdog: stalled (age=1410m) but max restarts reached (10), no action
2026-03-03T03:40:01Z watchdog: stalled (age=1415m) but max restarts reached (10), no action
2026-03-03T04:00:01Z watchdog: healthy (age=14m), no action
2026-03-03T04:05:01Z watchdog: healthy (age=19m), no action
2026-03-03T04:10:02Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-03T04:15:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-03T04:20:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-03T04:30:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-03T04:35:01Z watchdog: healthy (age=3m), no action
2026-03-03T04:55:01Z watchdog: stalled (age=23m) but max restarts reached (10), no action
2026-03-03T05:00:01Z watchdog: stalled (age=28m) but max restarts reached (10), no action
2026-03-03T05:05:01Z watchdog: stalled (age=33m) but max restarts reached (10), no action
2026-03-03T05:10:01Z watchdog: stalled (age=38m) but max restarts reached (10), no action
2026-03-03T05:30:02Z watchdog: stalled (age=58m) but max restarts reached (10), no action
2026-03-03T05:35:01Z watchdog: stalled (age=63m) but max restarts reached (10), no action
2026-03-03T05:40:01Z watchdog: stalled (age=68m) but max restarts reached (10), no action
2026-03-03T05:45:01Z watchdog: stalled (age=73m) but max restarts reached (10), no action
2026-03-03T05:50:01Z watchdog: stalled (age=78m) but max restarts reached (10), no action
2026-03-03T05:55:01Z watchdog: stalled (age=83m) but max restarts reached (10), no action
2026-03-03T06:05:01Z watchdog: stalled (age=93m) but max restarts reached (10), no action
2026-03-03T06:15:01Z watchdog: stalled (age=103m) but max restarts reached (10), no action
2026-03-03T06:20:01Z watchdog: stalled (age=108m) but max restarts reached (10), no action
2026-03-03T06:30:01Z watchdog: stalled (age=118m) but max restarts reached (10), no action
2026-03-03T06:35:01Z watchdog: stalled (age=123m) but max restarts reached (10), no action
2026-03-03T06:40:01Z watchdog: stalled (age=128m) but max restarts reached (10), no action
2026-03-03T07:00:01Z watchdog: stalled (age=148m) but max restarts reached (10), no action
2026-03-03T07:10:01Z watchdog: stalled (age=158m) but max restarts reached (10), no action
2026-03-03T07:15:02Z watchdog: stalled (age=163m) but max restarts reached (10), no action
2026-03-03T07:20:01Z watchdog: stalled (age=168m) but max restarts reached (10), no action
2026-03-03T07:25:01Z watchdog: stalled (age=173m) but max restarts reached (10), no action
2026-03-03T07:30:01Z watchdog: healthy (age=2m), no action
2026-03-03T07:35:01Z watchdog: healthy (age=7m), no action
2026-03-03T07:40:01Z watchdog: healthy (age=12m), no action
2026-03-03T07:45:02Z watchdog: healthy (age=17m), no action
2026-03-03T07:50:01Z watchdog: stalled (age=22m) but max restarts reached (10), no action
2026-03-03T07:55:01Z watchdog: stalled (age=27m) but max restarts reached (10), no action
2026-03-03T08:15:01Z watchdog: healthy (age=18m), no action
2026-03-03T08:20:01Z watchdog: stalled (age=23m) but max restarts reached (10), no action
2026-03-03T08:25:01Z watchdog: stalled (age=28m) but max restarts reached (10), no action
2026-03-03T08:35:01Z watchdog: stalled (age=38m) but max restarts reached (10), no action
2026-03-03T08:40:01Z watchdog: stalled (age=43m) but max restarts reached (10), no action
2026-03-03T08:45:01Z watchdog: stalled (age=48m) but max restarts reached (10), no action
2026-03-03T08:55:01Z watchdog: stalled (age=58m) but max restarts reached (10), no action
2026-03-03T09:00:01Z watchdog: stalled (age=63m) but max restarts reached (10), no action
2026-03-03T09:05:01Z watchdog: stalled (age=68m) but max restarts reached (10), no action
2026-03-03T09:10:01Z watchdog: stalled (age=73m) but max restarts reached (10), no action
2026-03-03T09:15:01Z watchdog: stalled (age=78m) but max restarts reached (10), no action
2026-03-03T09:25:01Z watchdog: stalled (age=88m) but max restarts reached (10), no action
2026-03-03T09:30:02Z watchdog: stalled (age=93m) but max restarts reached (10), no action
2026-03-03T09:45:01Z watchdog: stalled (age=108m) but max restarts reached (10), no action
2026-03-03T09:55:01Z watchdog: stalled (age=118m) but max restarts reached (10), no action
2026-03-03T10:05:01Z watchdog: stalled (age=128m) but max restarts reached (10), no action
2026-03-03T10:15:01Z watchdog: stalled (age=138m) but max restarts reached (10), no action
2026-03-03T10:20:01Z watchdog: stalled (age=143m) but max restarts reached (10), no action
2026-03-03T10:25:01Z watchdog: stalled (age=148m) but max restarts reached (10), no action
2026-03-03T10:30:01Z watchdog: stalled (age=153m) but max restarts reached (10), no action
2026-03-03T10:35:01Z watchdog: stalled (age=158m) but max restarts reached (10), no action
2026-03-03T10:40:01Z watchdog: stalled (age=163m) but max restarts reached (10), no action
2026-03-03T10:50:01Z watchdog: stalled (age=173m) but max restarts reached (10), no action
2026-03-03T11:00:01Z watchdog: stalled (age=183m) but max restarts reached (10), no action
2026-03-03T11:05:01Z watchdog: stalled (age=188m) but max restarts reached (10), no action
2026-03-03T11:15:01Z watchdog: stalled (age=198m) but max restarts reached (10), no action
2026-03-03T11:20:01Z watchdog: stalled (age=203m) but max restarts reached (10), no action
2026-03-03T11:30:01Z watchdog: stalled (age=213m) but max restarts reached (10), no action
2026-03-03T11:40:01Z watchdog: stalled (age=223m) but max restarts reached (10), no action
2026-03-03T11:50:01Z watchdog: stalled (age=233m) but max restarts reached (10), no action
2026-03-03T11:55:01Z watchdog: stalled (age=238m) but max restarts reached (10), no action
2026-03-03T12:00:01Z watchdog: stalled (age=243m) but max restarts reached (10), no action
2026-03-03T12:10:01Z watchdog: stalled (age=253m) but max restarts reached (10), no action
2026-03-03T12:15:01Z watchdog: healthy (age=0m), no action
2026-03-03T12:20:01Z watchdog: healthy (age=5m), no action
2026-03-03T12:35:01Z watchdog: stalled (age=20m) but max restarts reached (10), no action
2026-03-03T12:45:01Z watchdog: stalled (age=30m) but max restarts reached (10), no action
2026-03-03T12:55:01Z watchdog: healthy (age=7m), no action
2026-03-03T13:00:01Z watchdog: healthy (age=12m), no action
2026-03-03T13:05:01Z watchdog: healthy (age=17m), no action
2026-03-03T13:15:01Z watchdog: stalled (age=27m) but max restarts reached (10), no action
2026-03-03T13:20:01Z watchdog: stalled (age=32m) but max restarts reached (10), no action
2026-03-03T13:35:01Z watchdog: stalled (age=47m) but max restarts reached (10), no action
2026-03-03T14:15:01Z watchdog: stalled (age=87m) but max restarts reached (10), no action
2026-03-03T14:20:01Z watchdog: stalled (age=92m) but max restarts reached (10), no action
2026-03-03T14:25:01Z watchdog: stalled (age=97m) but max restarts reached (10), no action
2026-03-03T14:30:01Z watchdog: stalled (age=102m) but max restarts reached (10), no action
2026-03-03T14:35:01Z watchdog: stalled (age=107m) but max restarts reached (10), no action
2026-03-03T14:50:01Z watchdog: stalled (age=122m) but max restarts reached (10), no action
2026-03-03T14:55:01Z watchdog: stalled (age=127m) but max restarts reached (10), no action
2026-03-03T15:00:02Z watchdog: stalled (age=132m) but max restarts reached (10), no action
2026-03-03T15:10:01Z watchdog: stalled (age=142m) but max restarts reached (10), no action
2026-03-03T15:15:01Z watchdog: stalled (age=147m) but max restarts reached (10), no action
2026-03-03T15:25:01Z watchdog: stalled (age=157m) but max restarts reached (10), no action
2026-03-03T15:30:01Z watchdog: stalled (age=162m) but max restarts reached (10), no action
2026-03-03T15:35:01Z watchdog: stalled (age=167m) but max restarts reached (10), no action
2026-03-03T15:45:01Z watchdog: stalled (age=177m) but max restarts reached (10), no action
2026-03-03T15:50:01Z watchdog: stalled (age=182m) but max restarts reached (10), no action
2026-03-03T16:05:02Z watchdog: stalled (age=197m) but max restarts reached (10), no action
2026-03-03T16:10:01Z watchdog: stalled (age=202m) but max restarts reached (10), no action
2026-03-03T16:20:01Z watchdog: stalled (age=212m) but max restarts reached (10), no action
2026-03-03T16:25:01Z watchdog: stalled (age=217m) but max restarts reached (10), no action
2026-03-03T16:30:01Z watchdog: stalled (age=222m) but max restarts reached (10), no action
2026-03-03T16:40:01Z watchdog: stalled (age=232m) but max restarts reached (10), no action
2026-03-03T16:45:01Z watchdog: stalled (age=237m) but max restarts reached (10), no action
2026-03-03T16:50:01Z watchdog: stalled (age=242m) but max restarts reached (10), no action
2026-03-03T16:55:01Z watchdog: stalled (age=247m) but max restarts reached (10), no action
2026-03-03T17:10:01Z watchdog: stalled (age=262m) but max restarts reached (10), no action
2026-03-03T17:20:01Z watchdog: stalled (age=272m) but max restarts reached (10), no action
2026-03-03T17:25:01Z watchdog: stalled (age=277m) but max restarts reached (10), no action
2026-03-03T17:35:01Z watchdog: stalled (age=287m) but max restarts reached (10), no action
2026-03-03T17:40:01Z watchdog: stalled (age=292m) but max restarts reached (10), no action
2026-03-03T17:45:01Z watchdog: stalled (age=297m) but max restarts reached (10), no action
2026-03-03T17:50:01Z watchdog: stalled (age=302m) but max restarts reached (10), no action
2026-03-03T17:55:01Z watchdog: stalled (age=307m) but max restarts reached (10), no action
2026-03-03T18:00:01Z watchdog: stalled (age=312m) but max restarts reached (10), no action
2026-03-03T18:20:01Z watchdog: stalled (age=332m) but max restarts reached (10), no action
2026-03-03T18:35:01Z watchdog: stalled (age=347m) but max restarts reached (10), no action
2026-03-03T18:40:01Z watchdog: stalled (age=352m) but max restarts reached (10), no action
2026-03-03T18:50:02Z watchdog: stalled (age=362m) but max restarts reached (10), no action
2026-03-03T18:55:01Z watchdog: stalled (age=367m) but max restarts reached (10), no action
2026-03-03T19:00:01Z watchdog: stalled (age=372m) but max restarts reached (10), no action
2026-03-03T19:05:01Z watchdog: stalled (age=377m) but max restarts reached (10), no action
2026-03-03T19:10:01Z watchdog: healthy (age=0m), no action
2026-03-03T19:15:01Z watchdog: healthy (age=0m), no action
2026-03-03T19:25:01Z watchdog: healthy (age=4m), no action
2026-03-03T19:30:01Z watchdog: healthy (age=9m), no action
2026-03-03T19:35:01Z watchdog: healthy (age=14m), no action
2026-03-03T19:40:02Z watchdog: healthy (age=19m), no action
2026-03-03T19:45:01Z watchdog: healthy (age=0m), no action
2026-03-03T19:50:01Z watchdog: healthy (age=5m), no action
2026-03-03T19:55:01Z watchdog: healthy (age=4m), no action
2026-03-03T20:20:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-03T20:30:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-03T20:35:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-03T20:40:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-03T20:50:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-03T20:55:02Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-03T21:10:02Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-03T21:15:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-03T21:25:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-03T21:30:01Z watchdog: stalled (age=99m) but max restarts reached (10), no action
2026-03-03T21:55:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-03T22:00:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-03T22:05:01Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-03T22:10:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-03T22:20:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-03T22:25:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-03T22:35:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-03T22:50:01Z watchdog: stalled (age=179m) but max restarts reached (10), no action
2026-03-03T22:55:01Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-03T23:00:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-03T23:05:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-03T23:10:01Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-03-03T23:15:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-03T23:35:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-03T23:50:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-03T23:55:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-04T00:00:03Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-04T00:05:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-04T00:10:02Z watchdog: stalled (age=259m) but max restarts reached (10), no action
2026-03-04T00:25:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-04T00:30:01Z watchdog: stalled (age=279m) but max restarts reached (10), no action
2026-03-04T00:45:02Z watchdog: healthy (age=10m), no action
2026-03-04T00:50:01Z watchdog: healthy (age=0m), no action
2026-03-04T00:55:01Z watchdog: healthy (age=2m), no action
2026-03-04T01:00:01Z watchdog: healthy (age=7m), no action
2026-03-04T01:05:01Z watchdog: healthy (age=12m), no action
2026-03-04T01:10:01Z watchdog: healthy (age=17m), no action
2026-03-04T01:15:01Z watchdog: stalled (age=22m) but max restarts reached (10), no action
2026-03-04T01:20:01Z watchdog: stalled (age=27m) but max restarts reached (10), no action
2026-03-04T01:25:01Z watchdog: stalled (age=32m) but max restarts reached (10), no action
2026-03-04T01:30:01Z watchdog: stalled (age=37m) but max restarts reached (10), no action
2026-03-04T01:35:01Z watchdog: stalled (age=42m) but max restarts reached (10), no action
2026-03-04T01:40:02Z watchdog: stalled (age=47m) but max restarts reached (10), no action
2026-03-04T01:50:01Z watchdog: stalled (age=57m) but max restarts reached (10), no action
2026-03-04T02:00:01Z watchdog: stalled (age=67m) but max restarts reached (10), no action
2026-03-04T02:15:01Z watchdog: stalled (age=82m) but max restarts reached (10), no action
2026-03-04T02:25:01Z watchdog: stalled (age=92m) but max restarts reached (10), no action
2026-03-04T02:30:01Z watchdog: stalled (age=97m) but max restarts reached (10), no action
2026-03-04T02:35:01Z watchdog: stalled (age=102m) but max restarts reached (10), no action
2026-03-04T02:40:01Z watchdog: stalled (age=107m) but max restarts reached (10), no action
2026-03-04T02:45:01Z watchdog: stalled (age=112m) but max restarts reached (10), no action
2026-03-04T02:50:01Z watchdog: stalled (age=117m) but max restarts reached (10), no action
2026-03-04T03:00:01Z watchdog: stalled (age=127m) but max restarts reached (10), no action
2026-03-04T03:10:01Z watchdog: stalled (age=137m) but max restarts reached (10), no action
2026-03-04T03:40:01Z watchdog: stalled (age=167m) but max restarts reached (10), no action
2026-03-04T03:45:01Z watchdog: stalled (age=172m) but max restarts reached (10), no action
2026-03-04T03:55:01Z watchdog: stalled (age=182m) but max restarts reached (10), no action
2026-03-04T04:05:01Z watchdog: stalled (age=192m) but max restarts reached (10), no action
2026-03-04T04:10:01Z watchdog: stalled (age=197m) but max restarts reached (10), no action
2026-03-04T04:15:01Z watchdog: stalled (age=202m) but max restarts reached (10), no action
2026-03-04T04:25:01Z watchdog: stalled (age=212m) but max restarts reached (10), no action
2026-03-04T04:35:01Z watchdog: stalled (age=222m) but max restarts reached (10), no action
2026-03-04T04:40:01Z watchdog: stalled (age=227m) but max restarts reached (10), no action
2026-03-04T04:55:01Z watchdog: stalled (age=242m) but max restarts reached (10), no action
2026-03-04T05:00:02Z watchdog: stalled (age=247m) but max restarts reached (10), no action
2026-03-04T05:15:01Z watchdog: stalled (age=262m) but max restarts reached (10), no action
2026-03-04T05:20:01Z watchdog: stalled (age=267m) but max restarts reached (10), no action
2026-03-04T05:25:01Z watchdog: stalled (age=272m) but max restarts reached (10), no action
2026-03-04T05:35:01Z watchdog: stalled (age=282m) but max restarts reached (10), no action
2026-03-04T05:40:01Z watchdog: stalled (age=287m) but max restarts reached (10), no action
2026-03-04T06:00:02Z watchdog: healthy (age=0m), no action
2026-03-04T06:10:01Z watchdog: healthy (age=9m), no action
2026-03-04T06:15:01Z watchdog: healthy (age=14m), no action
2026-03-04T06:25:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-04T06:30:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-04T06:40:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-04T06:45:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-04T06:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-04T07:10:02Z watchdog: stalled (age=69m) but max restarts reached (10), no action
2026-03-04T07:15:01Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-04T07:25:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-04T07:30:01Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-04T07:35:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-04T07:40:01Z watchdog: stalled (age=99m) but max restarts reached (10), no action
2026-03-04T07:45:01Z watchdog: stalled (age=104m) but max restarts reached (10), no action
2026-03-04T08:00:02Z watchdog: stalled (age=119m) but max restarts reached (10), no action
2026-03-04T08:10:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-04T08:15:01Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-04T08:20:02Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-04T08:30:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-04T08:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-04T08:45:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-04T08:50:02Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-04T08:55:01Z watchdog: stalled (age=174m) but max restarts reached (10), no action
2026-03-04T09:05:01Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-04T09:20:02Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-03-04T09:25:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-04T09:35:01Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-03-04T09:50:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-04T10:05:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-04T10:10:02Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-04T10:25:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-03-04T10:45:02Z watchdog: stalled (age=284m) but max restarts reached (10), no action
2026-03-04T10:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-04T10:55:02Z watchdog: stalled (age=294m) but max restarts reached (10), no action
2026-03-04T11:15:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-04T11:30:02Z watchdog: stalled (age=329m) but max restarts reached (10), no action
2026-03-04T11:40:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-04T11:45:01Z watchdog: stalled (age=344m) but max restarts reached (10), no action
2026-03-04T11:55:01Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-03-04T12:05:01Z watchdog: healthy (age=4m), no action
2026-03-04T12:15:01Z watchdog: healthy (age=14m), no action
2026-03-04T12:45:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-04T12:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
